"","Charles Barkley (Democratic) Winner","Paul Carlson (Democratic) Winner","Joan F. Stern (Democratic) Winner","Barrie S. Ciliberti (Republican)","Walter McKee (Republican)","Mathew Mossburg (Republican)",,
"Montgomery","17020","16670","16515","14420","14412","13439",,


"House of Delegates - Vote For No More Than Three - Legislative District: 40",,
"","Tony E. Fulton (Democratic) Winner","Salima Siler Marriott (Democratic) Winner","Howard Peters Rawlings (Democratic) Winner",,
"Baltimore City","14335","11082","12916",,


"House of Delegates - Vote For No More Than Three - Legislative District: 41",,
"","Lisa A. Gladden (Democratic) Winner","Nathaniel T. Oaks (Democratic) Winner","Wendell F. Phillips (Democratic) Winner",,
"Baltimore City","14355","14139","13543",,


"House of Delegates - Vote For No More Than Three - Legislative District: 42",,
"","James W. Campbell (Democratic) Winner","Maggie McIntosh (Democratic) Winner","Samuel I. Sandy Rosenberg (Democratic) Winner","Jeffrey B. Smith Jr. (Republican)",,
"Baltimore City","14609","13857","14679","4417",,
"Baltimore ","6294","6586","7089","3982",,


"House of Delegates - Vote For No More Than Three - Legislative District: 43",,
"","Michael V. Dobson (Democratic) Winner","Ann Marie Doory (Democratic) Winner","Kenneth C. Montague Jr. (Democratic) Winner",,
"Baltimore City","18064","16743","16094",,


"House of Delegates - Vote For No More Than Three - Legislative District: 44",,
"","Verna Jones (Democratic) Winner","Ruth M. Kirk (Democratic) Winner","Jeffrey A. Paige (Democratic) Winner","(Write-in) Lisa M. Mitchell (Independent)",,
"Baltimore City","10119","8585","7171","1105",,


"House of Delegates - Vote For No More Than Three - Legislative District: 45",,
"","Talmadge Branch (Democratic) Winner","Clarence Davis (Democratic) Winner","Hattie N. Harrison (Democratic) Winner",,
"Baltimore City","10882","11631","11287",,


"House of Delegates - Vote For No More Than Three - Legislative District: 46",,
"","Cornell N. Dypski (Democratic) Winner","Peter A. Hammen (Democratic) Winner","Carolyn Krysiak (Democratic) Winner",,
"Baltimore City","11056","9957","10494",,
"Baltimore ","1832","1814","1822",,


"House of Delegates - Vote For No More Than Two - Legislative District: 47A",,
"","Brian K. McHale (Democratic) Winner","Timothy D. Murphy (Democratic) Winner","Anthony F. Forlenza (Republican)","William W. Sheldon (Republican)",,
"Baltimore City","7823","8363","1518","1774",,


"House of Delegates - Vote For One - Legislative District: 47B",,
"","Thomas E. Dewberry (Democratic) Winner","John A. Hoffman (Republican)",,
"Baltimore ","7815","3597",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 02",,
"","O. Robert Lidums (Both Parties) Winner",,
"Cecil","15502",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 03",,
"","John Fader (Both Parties) Winner","J. William Hinkel (Both Parties) Winner",,
"Baltimore ","149600","140031",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 04",,
"","J. Frederick Sharer (Both Parties) Winner",,
"Allegany","11834",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 04",,
"","James L. Sherbin (Both Parties) Winner",,
"Garrett","6733",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 04",,
"","Donald E. Beachley (Both Parties) Winner","Kennedy Boone (Both Parties) Winner",,
"Washington","23258","21515",,


"Judge of the Circuit Court - Vote For No More Than Three - Judicial Circuit: 05",,
"","Michael E. Loney (Both Parties) Winner","Joseph P. Manck (Both Parties) Winner","Ronald A. Silkworth (Both Parties) Winner",,
"Anne Arundel","93817","92306","92611",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 05",,
"","Raymond Joseph Kane Jr. (Both Parties) Winner",,
"Howard","61257",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 06",,
"","Nelson W. Rupp Jr. (Both Parties) Winner","Patrick L. Woodward (Both Parties) Winner",,
"Montgomery","164482","165936",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 07",,
"","Christopher C. Henderson (Both Parties) Winner",,
"Charles","21804",,


"Judge of the Circuit Court - Vote For No More Than Four - Judicial Circuit: 07",,
"","Toni E. Clarke (Both Parties) Winner","James J. Lombardi (Both Parties) Winner","Theresa A. Nolan (Both Parties) Winner","Sheila R. Tillerson Adams (Both Parties) Winner",,
"Prince George`s","101129","99278","101033","103169",,


"Judge of the Circuit Court - Vote For No More Than Nine - Judicial Circuit: 08",,
"","John Carroll Byrnes (Both Parties) Winner","Evelyn Omega Cannon (Both Parties) Winner","Marcella A. Holland (Both Parties) Winner","Kenneth Lavon Johnson (Both Parties) Winner","Margaret Brooke Murdock (Both Parties) Winner","Alfred Nance (Both Parties) Winner","William D. Quarles (Both Parties) Winner","Allen L. Schwait (Both Parties) Winner","Thomas Waxter Jr. (Both Parties) Winner",,
"Baltimore City","88317","77036","77110","75812","78115","70974","75989","68280","77707",,


"Judge, Court of Appeals - Appellate Circuit: 01",,
"","Dale R. Cathell",,
"","For Winner","Against",,
"Caroline","3981","891",,
"Cecil","12545","2,277",,
"Dorchester","3103","812",,
"Kent","3779","646",,
"Queen Anne`s","7721","1,581",,
"Somerset","3422","608",,
"Talbot","7009","982",,
"Wicomico","14777","2,042",,
"Worcester","11962","1,609",,


"Judge, Court of Appeals - Appellate Circuit: 02",,
"","Alan M. Wilner",,
"","For Winner","Against",,
"Baltimore ","151084","25,595",,
"Harford","46433","10,941",,


"Judge, Court of Special Appeals At Large - ",,
"","Deborah S. Byrnes","James A. Kenney","Charles E. Moylan Jr.",,
"","For Winner","Against","For Winner","Against","For Winner","Against",,
"Allegany","7687","1,708","7483","1,724","7213","1,793",,
"Anne Arundel","102297","14,439","97911","16,173","98517","16,170",,
"Baltimore City","90366","7,006","81674","8,205","81319","8,009",,
"Baltimore ","154823","23,139","147448","25,113","150484","25,387",,
"Calvert","14160","1,961","13575","2,185","13378","2,201",,
"Caroline","3810","791","3664","799","3621","827",,
"Carroll","28833","4,883","27277","5,418","27348","5,340",,
"Cecil","12777","2,220","12402","2,261","11907","2,330",,
"Charles","20618","2,737","19826","3,029","19602","3,085",,
"Dorchester","2977","793","2925","799","2918","804",,
"Frederick","34717","4,433","33292","4,847","33502","4,895",,
"Garrett","4419","775","4168","850","4078","861",,
"Harford","47516","10,282","45194","10,698","44939","10,953",,
"Howard","56107","7,484","54708","7,792","54873","7,908",,
"Kent","3771","569","3571","590","3513","603",,
"Montgomery","181767","17,758","173583","18,637","172139","19,401",,
"Prince George`s","103940","13,197","100578","14,786","100676","14,419",,
"Queen Anne`s","7655","1,449","7263","1,595","7278","1,570",,
"St. Mary`s","14436","1,994","15031","2,022","13765","2,164",,
"Somerset","3301","592","3082","626","3091","611",,
"Talbot","6778","948","6529","955","6432","991",,
"Washington","19998","2,909","19427","2,989","21523","2,772",,
"Wicomico","13826","1,966","13331","2,054","13146","2,114",,
"Worcester","10330","1,433","9861","1,513","9901","1,466",,


"Judge, Court of Special Appeals - Appellate Circuit: 05",,
"","Raymond G. Thieme",,
"","For Winner","Against",,
"Anne Arundel","103402","16,850",,
"Calvert","13534","2,028",,
"Charles","19715","2,864",,
"St. Mary`s","14037","1,964",,


"Judge, Court of Special Appeals - Appellate Circuit: 07",,
"","Andrew L. Sonner",,
"","For Winner","Against",,
"Montgomery","160475","37,893",,
