President and Vice President of the United States - Vote For One - ,,,,,,,,,,,,,,,,,,,,
,Bill Clinton/Albert Gore Jr. (Democratic) Winner,George Bush/Dan Quayle (Republican),Ross Perot/James Stockdale (Independent),Andre Marrou/Nancy Lord (Libertarian),Lenora B Fulani/Maria Elizabeth Munoz (Alliance),Don Allenworth (Democratic),Willie Felix Carter (Democratic),Lyndon H. LaRouche Jr. (Democratic),Howard Phillips (Taxpayers),John Hagelin (Natural-Law),David Marshall Borkenhagen (Other),Thomas L. Chapman (Other),Ron Daniels (Other),Stephen Falcone (Other),Bo Gritz/Cy Minett (Other),Robert Edward Haines (Other),Americus Liberator (Other),George Muzyk (Other),Roy Wayne Tyree (Other),James A. Warren (Other)
,Bruce C. Williams (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Anne Arundel,121417,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 05,,,,,,,,,,,,,,,,,,,,
,Francis Miller Arnold (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Carroll,35329,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 05,,,,,,,,,,,,,,,,,,,,
,Dennis M. Sweeney (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Howard,68264,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 06,,,,,,,,,,,,,,,,,,,,
,Herbert L. Rollins (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Frederick,45818,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 06,,,,,,,,,,,,,,,,,,,,
,James L. Ryan (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Montgomery,229281,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 07,,,,,,,,,,,,,,,,,,,,
,George W. Bowling (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Charles,20036,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For No More Than Three - Judicial Circuit: 07,,,,,,,,,,,,,,,,,,,,
,Larnzell Martin Jr. (Both Parties) Winner,Steven I. Platt (Both Parties) Winner,Richard H. Sothoron (Both Parties) Winner,,,,,,,,,,,,,,,,,
Prince George`s,129862,131320,118384,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For No More Than Three - Judicial Circuit: 08,,,,,,,,,,,,,,,,,,,,
,Andre M. Davis (Both Parties) Winner,Joseph P. McCurdy Jr. (Both Parties) Winner,Paul A. Smith (Both Parties) Winner,,,,,,,,,,,,,,,,,
Baltimore City,93178,78223,77621,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Judge, Court of Appeals - Appellate Circuit: 01",,,,,,,,,,,,,,,,,,,,
