

"President and Vice President of the United States - (Vote for One Pair) - ",,
"Allegany ","10894","14656","81","99","610","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15",,
"Carroll ","20146","41742","209","154","1681","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52",,
"Frederick ","30725","45350","224","182","2052","47","0","0","8","0","0","0","0","1","0","0","0","0","0","0","72",,
"Garrett ","2872","7514","27","27","203","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5",,
"Howard ","29356","32669","211","122","2015","17","0","0","5","0","0","0","0","0","0","0","0","0","0","0","75",,
"Washington ","18221","27948","105","117","1027","21","0","0","5","0","0","0","0","0","0","0","0","0","0","0","26",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 07",,
"","Al Gore/Joe Lieberman   (Democratic) Winner","George W. Bush/Dick Cheney   (Republican)","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Baltimore City","105174","6970","165","146","2497","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"Baltimore ","35691","16245","141","122","1413","32","0","0","4","0","0","0","0","1","0","0","0","0","0","0","37",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 08",,
"","Al Gore/Joe Lieberman   (Democratic) Winner","George W. Bush/Dick Cheney   (Republican)","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Montgomery ","183670","110356","830","496","9452","101","0","0","61","0","1","1","2","2","1","1","0","1","0","0","308",,


"U.S. Senator - (Vote for One) - ",,
"","Paul S. Sarbanes (Democratic) Winner","Paul H. Rappaport (Republican)","Corrogan R. Vaughn (Republican)","Other Write-ins",,
"Allegany ","12638","8768","0","2",,
"Anne Arundel ","101627","95737","17","177",,
"Baltimore City","158260","24019","5","157",,
"Baltimore ","175551","122601","0","302",,
"Calvert ","15305","13618","4","24",,
"Caroline ","4239","4472","1","7",,
"Carroll ","23781","38790","0","59",,
"Cecil ","14168","13955","1","24",,
"Charles ","25278","18321","1","24",,
"Dorchester ","5724","4276","0","0",,
"Frederick ","37315","39031","3","76",,
"Garrett ","4319","5858","0","0",,
"Harford ","41679","48322","8","68",,
"Howard ","62636","47786","22","97",,
"Kent ","4346","3481","0","4",,
"Montgomery ","250664","109911","41","447",,
"Prince George's ","204622","40033","5","13",,
"Queen Anne's ","7539","8775","2","7",,
"Somerset ","4681","2536","0","2",,
"St. Mary's ","15273","13357","0","21",,
"Talbot ","6996","7820","1","23",,
"Washington ","22362","23291","2","35",,
"Wicomico ","18946","12234","0","14",,
"Worcester ","12064","8186","0","11",,


"Representative in Congress - (Vote for One) - Congressional District: 01",,
"","Bennett Bozman (Democratic)","Wayne T. Gilchrest (Republican) Winner","David M. Gross (Green)","Other Write-ins",,
"Anne Arundel ","39859","70940","52","127",,
"Baltimore City","893","751","0","3",,
"Caroline ","2398","6307","2","9",,
"Cecil ","9746","17932","3","39",,
"Dorchester ","3500","6425","0","0",,
"Kent ","1802","6028","6","9",,
"Queen Anne's ","3638","12510","6","20",,
"Somerset ","3625","3762","0","10",,
"Talbot ","3722","11153","4","23",,
"Wicomico ","12529","18487","0","38",,
"Worcester ","9310","10998","0","16",,


"Representative in Congress - (Vote for One) - Congressional District: 02",,
"","Kenneth T. Bosley (Democratic)","Robert L. Ehrlich Jr. (Republican) Winner","Other Write-ins",,
"Anne Arundel ","6497","14760","30",,
"Baltimore ","49209","100738","176",,
"Harford ","25885","63058","79",,


"Representative in Congress - (Vote for One) - Congressional District: 03",,
"","Benjamin L. Cardin (Democratic) Winner","Colin Harby (Republican)","Joe Pomykala (Libertarian)","Other Write-ins",,
"Anne Arundel ","13027","7410","22","29",,
"Baltimore City","55093","11162","34","144",,
"Baltimore ","68389","21712","23","137",,
"Howard ","32838","13543","159","96",,


"Representative in Congress - (Vote for One) - Congressional District: 04",,
"","Albert R. Wynn (Democratic) Winner","John B. Kimble (Republican)","Kim E. Mooney (Other Candidates)","Other Write-ins",,
"Montgomery ","50079","12952","13","343",,
"Prince George's ","122545","12021","0","16",,


"Representative in Congress - (Vote for One) - Congressional District: 05",,
"","Steny H. Hoyer (Democratic) Winner","Thomas E. 'Tim' Hutchins (Republican)","Other Write-ins",,
"Anne Arundel ","21810","18709","40",,
"Calvert ","16131","13150","34",,
"Charles ","25611","18108","16",,
"Prince George's ","85615","27114","9",,
"St. Mary's ","17064","11938","26",,


"Representative in Congress - (Vote for One) - Congressional District: 06",,
"","Donald M. DeArmon (Democratic)","Roscoe G. Bartlett (Republican) Winner","Tim McCown (Green)","Other Write-ins",,
"Allegany ","8542","13542","2","1",,
"Carroll ","19730","41618","0","42",,
"Frederick ","31762","44857","68","54",,
"Garrett ","2560","7655","0","5",,
"Howard ","28700","32959","4","59",,
"Washington ","17842","27993","8","42",,


"Representative in Congress - (Vote for One) - Congressional District: 07",,
"","Elijah E. Cummings (Democratic) Winner","Kenneth Kondner (Republican)","Other Write-ins",,
"Baltimore City","97087","5175","77",,
"Baltimore ","36979","14598","58",,


"Representative in Congress - (Vote for One) - Congressional District: 08",,
"","Terry Lierman (Democratic)","Constance A. Morella (Republican) Winner","Brian D. Saunders (Constitution)","Lih Young (Democratic)","Scott Walker (Other Candidates)","Other Write-ins",,
"Montgomery ","136840","156241","7017","77","19","275",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 01",,
"","Donald C. Davis (Both Parties) Winner","Other Write-ins",,
"Wicomico ","23984","360",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 01",,
"","Theodore R. Eschenburg (Both Parties) Winner","Other Write-ins",,
"Worcester ","16379","334",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 02",,
"","Karen A. Murphy Jensen (Both Parties) Winner","Other Write-ins",,
"Caroline ","6909","122",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 02",,
"","Edward D. E. Rollins Jr. (Both Parties) Winner","Other Write-ins",,
"Cecil ","23161","575",,


"Judge of the Circuit Court - (Vote for No More Than Two) - Judicial Circuit: 03",,
"","Kathleen Gallogly Cox (Both Parties) Winner","Robert N. Dugan (Both Parties) Winner","Other Write-ins",,
"Baltimore ","186154","154864","2366",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 03",,
"","Emory A. Plitt Jr. (Both Parties) Winner","Other Write-ins",,
"Harford ","66602","1298",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 04",,
"","Gary G. Leasure (Both Parties) Winner","Other Write-ins",,
"Allegany ","17241","8",,


"Judge of the Circuit Court - (Vote for No More Than Two) - Judicial Circuit: 05",,
"","Philip T. Caroom (Both Parties) Winner","James C. Cawood Jr. (Both Parties) Winner","Other Write-ins",,
"Anne Arundel ","115772","121389","1935",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 05",,
"","Michael M. Galloway (Both Parties) Winner","Other Write-ins",,
"Carroll ","44104","570",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 06",,
"","Julie Rebecca Stevenson (Both Parties) Winner","Other Write-ins",,
"Frederick ","57509","775",,


"Judge of the Circuit Court - (Vote for No More Than Five) - Judicial Circuit: 07",,
"","Herman C. Dawson (Both Parties) Winner","G. R. Hovey Johnson (Both Parties) Winner","Maureen M. Lamasney (Both Parties) Winner","Ronald David Schiff (Both Parties) Winner","Michael Patrick Whalen (Both Parties) Winner","Other Write-ins",,
"Prince George's ","143066","141841","143158","134741","137500","92",,


"Judge of the Circuit Court - (Vote for One) - Judicial Circuit: 07",,
"","Charles Clarke Raley (Both Parties) Winner","Other Write-ins",,
"St. Mary's ","22880","401",,


"Judge of the Circuit Court - (Vote for No More Than Five) - Judicial Circuit: 08",,
"","Kaye A. Allison (Both Parties) Winner","Stuart R. Berger (Both Parties) Winner","Audrey J. S. Carrion (Both Parties) Winner","Wanda Keyes Heard (Both Parties) Winner","Thomas E. Noel (Both Parties) Winner","Other Write-ins",,
"Baltimore City","99448","90121","86620","90619","81002","1255",,


"Judge, Court of Appeals - Appellate Circuit: 04",,
"","Glenn T. Harrell Jr. (Both Parties)",,
"","For Winner","Against",,
"Prince George's ","155748","25,116",,


"Judge, Court of Special Appeals At Large - ",,
"","Peter B. Krauser (Both Parties)",,
"","For Winner","Against",,
"Allegany ","9930","2,068",,
"Anne Arundel ","126658","23,609",,
"Baltimore City","91902","14,359",,
"Baltimore ","184287","35,785",,
"Calvert ","18170","3,822",,
"Caroline ","5137","1,092",,
"Carroll ","37184","6,724",,
"Cecil ","18199","3,495",,
"Charles ","28109","5,661",,
"Dorchester ","3678","959",,
"Frederick ","48373","6,681",,
"Garrett ","5627","1,381",,
"Harford ","58201","11,113",,
"Howard ","70541","13,517",,
"Kent ","4516","859",,
"Montgomery ","237014","36,116",,
"Prince George's ","149922","27,932",,
"Queen Anne's ","9293","2,527",,
"Somerset ","3886","930",,
"St. Mary's ","18035","2,795",,
"Talbot ","9182","1,597",,
"Washington ","27089","4,911",,
"Wicomico ","20601","2,858",,
"Worcester ","13790","1,905",,


"Judge, Court of Special Appeals - Appellate Circuit: 01",,
"","Sally D. Adkins (Both Parties)",,
"","For Winner","Against",,
"Caroline ","5315","927",,
"Cecil ","18591","3,228",,
"Dorchester ","4107","878",,
"Kent ","4626","751",,
"Queen Anne's ","9535","2,267",,
"Somerset ","4252","792",,
"Talbot ","9792","1,398",,
"Wicomico ","22777","2,600",,
"Worcester ","14485","1,707",,


"Statewide Ballot Question - ",,
"","    Constitutional Amendment   01: Cecil County - Election and Terms of Office for the Board of County Commissioners",,
"","For Winner","Against",,
"Allegany ","2219","1,207",,
"Anne Arundel ","97923","42,425",,
"Baltimore City","79393","26,931",,
"Baltimore ","145502","65,617",,
"Calvert ","13282","5,826",,
"Caroline ","3156","1,542",,
"Carroll ","27723","14,120",,
"Cecil ","17048","8,916",,
"Charles ","20213","8,378",,
"Dorchester ","2111","1,082",,
"Frederick ","33914","14,700",,
"Garrett ","3551","1,741",,
"Harford ","41307","23,267",,
"Howard ","58813","23,356",,
"Kent ","3074","1,318",,
"Montgomery ","164090","82,372",,
"Prince George's ","94855","50,243",,
"Queen Anne's ","6586","3,197",,
"Somerset ","2707","1,150",,
"St. Mary's ","12669","5,838",,
"Talbot ","6117","2,497",,
"Washington ","18217","8,266",,
"Wicomico ","12479","4,767",,
"Worcester ","8400","3,676",,


"Statewide Ballot Question - ",,
"","    Constitutional Amendment   02: Prince George's County - Property for Redevelopment Purposes",,
"","For","Against Winner",,
"Allegany ","1435","1,935",,
"Anne Arundel ","45143","97,333",,
"Baltimore City","54463","47,761",,
"Baltimore ","72887","138,186",,
"Calvert ","7295","12,345",,
"Caroline ","1465","3,218",,
"Carroll ","10537","31,750",,
"Cecil ","4418","14,280",,
"Charles ","11846","17,553",,
"Dorchester ","1043","1,973",,
"Frederick ","15715","32,532",,
"Garrett ","1786","3,430",,
"Harford ","14877","49,139",,
"Howard ","31458","51,546",,
"Kent ","1402","2,892",,
"Montgomery ","103378","139,131",,
"Prince George's ","86634","93,920",,
"Queen Anne's ","2983","6,824",,
"Somerset ","1514","2,137",,
"St. Mary's ","6465","12,105",,
"Talbot ","2770","5,595",,
"Washington ","8651","17,479",,
"Wicomico ","6692","9,781",,
"Worcester ","4832","6,809",,
